Code,Name,Url,Rating,Difficulty,Tags
26,Finance for Everyone: Debt,https://coursera.org/learn/finance-debt,4.7,None,'Finance'
34,Digital Product Management: Modern Fundamentals,https://coursera.org/learn/uva-darden-digital-product-management,4.7,Beginner Level,'Leadership and Management'
35,Digital Competition in Financial Services,https://coursera.org/learn/digital-competition-financial-services,4.6,Beginner Level,'Business Strategy'
41,Identifying Social Entrepreneurship Opportunities,https://coursera.org/learn/social-entrepreneurship-opportunities,4.6,Beginner Level,'Entrepreneurship'
43,Global Strategy I: How The Global Economy Works,https://coursera.org/learn/global-strategy,4.9,None,'Business Strategy'
44,Quantitative Research,https://coursera.org/learn/quantitative-research,4.2,Intermediate Level,'Marketing'
51,Forensic Accounting and Fraud Examination,https://coursera.org/learn/forensic-accounting,4.7,None,'Finance'
53,Strategic Business Management - Macroeconomics,https://coursera.org/learn/strategic-business-management-macroeconomics,4.8,Beginner Level,'Business Strategy'
61,Managerial Accounting Fundamentals,https://coursera.org/learn/uva-darden-managerial-accounting,4.8,Beginner Level,'Finance'
62,The Strategy of Content Marketing,https://coursera.org/learn/content-marketing,4.5,Intermediate Level,'Marketing'
74,Supply chain management: Be global,https://coursera.org/learn/supply-chain-management-global,4.8,Beginner Level,'Business Strategy'
78,CAPSTONE: Your Leadership Challenge,https://coursera.org/learn/leadership-challenge,4.5,None,'Leadership and Management'
82,Effective Problem-Solving and Decision-Making,https://coursera.org/learn/problem-solving,4.3,None,'Business Essentials'
86,Organizational Design and Management,https://coursera.org/learn/organizational-design-management,4.7,Beginner Level,'Business Strategy'
96,Giving 2.0: The MOOC,https://coursera.org/learn/philanthropist,4.6,None,'Business Strategy'
98,Survey analysis to Gain Marketing Insights,https://coursera.org/learn/survey-analysis-marketing-insights,4.4,None,'Marketing'
99,Construction Project Management,https://coursera.org/learn/construction-project-management,4.8,Beginner Level,'Business Strategy'
102,Introduction to the Nonprofit SectorNonprofit OrganizationsNonprofit Leadership and Governance,https://coursera.org/learn/nonprofit-organizations,4.4,None,'Leadership and Management'
107,Intelligence Tools for the Digital Age,https://coursera.org/learn/intelligence-tools-digital-age,4.6,Beginner Level,'Leadership and Management'
109,Marketing Internacional en Asia,https://coursera.org/learn/marketing-internacional-asia,4.8,Beginner Level,'Marketing'
113,Valuation for Startups Using Multiple Approach,https://coursera.org/learn/valuation-multiples,4.2,Beginner Level,'Finance'
